행정동,Y,반려동물등록수,펫파크수,인구수_원본,유동인구_원본,상권활성도_원본,교통편의도_원본,공시지가_원본,놀이터개수_원본,인구수_Z값,유동인구_Z값,상권활성도_Z값,교통편의도_Z값,공시지가_Z값,놀이터개수_Z값,인구수_기여값,유동인구_기여값,상권활성도_기여값,교통편의도_기여값,공시지가_기여값,놀이터개수_기여값,Z점수,순위
구미동,2132.8,2132.8,0.0,27869.0,177083.0,734.0,53.0,2653659.0,55.0,1.0797607848147543,0.910705521973881,0.47467845185680896,1.409318406674532,-0.21374607124140393,1.8333435635119533,739.6884628866836,-209.86780471424865,40.74814425891189,192.15963853512682,-10.116934838706037,-345.7977219921496,406.813784135618,13
은행2동,2072.1,2072.1,0.0,20371.0,20552.0,9.0,32.0,2147415.0,20.0,0.25033112052479284,-0.7935357371848344,-0.5596503459196591,0.3082884014600538,-0.6701232418930042,0.03795954776157926,171.48894862434992,182.8665788303636,-48.04244418696187,42.034920929558986,-31.717977938771664,-7.159773762568277,309.4702524959707,14
도촌동,1824.0,1824.0,0.0,25682.0,163284.0,644.0,55.0,636822.0,47.0,0.8378345810534652,0.7604680282178128,0.3462790148914543,1.514178407171149,-2.0319174742120296,1.4229700741975821,573.9572895482302,-175.24628080823575,29.725864313906875,206.45723068803804,-96.17382235304113,-268.39476239681676,270.32551899208136,15
백현동,906.5,1813.0,1.0,26208.0,190114.0,1115.0,35.0,2702799.0,46.0,0.8960207644912513,1.052581366682579,1.018236068343477,0.46557840220497926,-0.16944653551195402,1.3716733880332859,613.817644909925,-242.56242592007902,87.40912935943315,63.48130915892582,-8.02016873789847,-258.7193924474002,255.4060963229063,16
서현2동,1366.9,1366.9,0.0,17201.0,58980.0,870.0,19.0,3262246.0,0.0,-0.1003346617903816,-0.3751484330281427,0.6687042677155671,-0.37330160176795646,0.3348929509600354,-0.9879741755243489,-68.73410555164338,86.45119216029597,57.40403395358615,-50.89942806436396,15.851005555925092,186.34762522576395,226.42032327956383,17
정자3동,1549.6,1549.6,0.0,16483.0,21069.0,0.0,19.0,4571806.0,0.0,-0.17975990838416558,-0.7879068666672688,-0.5724902896161946,-0.37330160176795646,1.51545664672435,-0.9879741755243489,-123.1442484217895,181.56943209078767,-49.14467218146238,-50.89942806436396,71.72892608855747,186.34762522576395,216.45763473749327,18
금광1동,1292.4,1292.4,0.0,19585.0,24227.0,436.0,28.0,3038267.0,38.0,0.16338370572992625,-0.7535239399855047,0.049533649460412416,0.0985684004668199,0.13297667678123076,0.9612998987189145,111.92575601162729,173.6460483314436,4.252150663228607,13.439736623736543,6.2939934579849695,-181.31643285206727,128.2412522359538,19
하대원동,1612.0,1612.0,0.0,19470.0,46658.0,7.0,15.0,1830366.0,13.0,0.1506623918604483,-0.5093049949574326,-0.5625036667411115,-0.5830216027611904,-0.9559417910075008,-0.32111725538849556,103.21103953521111,117.36694095150482,-48.28738374129533,-79.4946123701864,-45.24621553533124,60.567815883348,108.11758472325096,20
서현1동,1263.05,2526.1,1.0,30592.0,331935.0,1055.0,50.0,2115202.0,68.0,1.3809793732198712,2.596666561405338,0.9326364436999073,1.2520284059296065,-0.6991631471525234,2.5002004836478067,946.0377930195637,-598.3895975901027,80.0609427294298,170.71325030575997,-33.0924819356238,-471.5775313345656,93.75237519446148,21
중앙동,1750.0,1750.0,0.0,16530.0,19079.0,8.0,13.0,5225524.0,14.0,-0.17456076271577026,-0.8095731187561576,-0.5610770063303854,-0.6878816032578073,2.1047811053727936,-0.26982056922419917,-119.58258168794985,186.5623179936042,-48.16491396412861,-93.79220452309762,99.6225716296181,50.892445933931384,75.53763538197762,22
