구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
분당구,서현1동,34806,주택단지,실외,효자촌삼환아파트 505동 놀이터,경기도 성남시 분당구 불정로 361,328.0,2010-12-20,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-13,Y,Y,N,2025-07-05,37.37385567,127.1333377,2010,15,1.2410749084033372,0,328.0,2
분당구,서현1동,34807,주택단지,실외,효자촌삼환아파트 502동 놀이터,경기도 성남시 분당구 불정로 361,328.0,2010-12-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-13,Y,Y,N,2025-07-05,37.37385567,127.1333377,2010,15,1.2410749084033372,0,328.0,2
분당구,서현1동,34808,주택단지,실외,효자촌삼환아파트 511동 놀이터,경기도 성남시 분당구 불정로 361,328.0,2010-12-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-13,Y,Y,N,2025-07-05,37.37385567,127.1333377,2010,15,1.2410749084033372,0,328.0,2
중원구,하대원동,34955,주택단지,실외,태연스카이빌아파트 놀이터,경기도 성남시 중원구 둔촌대로 274,328.0,2010-11-04,민간,흔들놀이기구(3)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2023-06-26,Y,Y,N,2025-07-05,37.4287498,127.1488907,2010,15,2.7356642628220085,0,328.0,2
분당구,금곡동,35033,주택단지,실외,청솔마을 공무원아파트 502동 놀이터,경기도 성남시 분당구 금곡로 263,8.0,2010-12-03,민간,그네(1)+흔들놀이기구(4)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-09-06,Y,Y,N,2025-07-05,37.35534392,127.1116584,2010,15,1.5132920871211522,0,8.0,2
중원구,도촌동,35166,주택단지,실외,도촌휴먼시아 섬마을1단지 111동 놀이터,경기도 성남시 중원구 도촌남로 22,328.0,2010-11-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2023-06-21,Y,Y,N,2025-07-05,37.4141394,127.148285,2010,15,2.2753922851875865,0,328.0,2
중원구,도촌동,35221,주택단지,실외,도촌휴먼시아 섬마을1단지 107동 놀이터,경기도 성남시 중원구 도촌남로 22,328.0,2010-11-01,민간,그네(1)+조합놀이대(1)+기타(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-21,Y,Y,N,2025-07-05,37.4141394,127.148285,2010,15,2.2753922851875865,0,328.0,2
중원구,도촌동,35222,주택단지,실외,도촌휴먼시아 섬마을1단지 113동 놀이터,경기도 성남시 중원구 도촌남로 22,636.0,2010-11-01,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-21,Y,Y,N,2025-07-05,37.4141394,127.148285,2010,15,2.2753922851875865,0,636.0,2
분당구,구미동,35355,도시공원,실외,샘터(62호) 어린이공원,경기도 성남시 분당구 구미동 87,316.5,2010-12-02,공공,그네(1)+흔들놀이기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1)+충격흡수용표면재(기타바닥재)(1),2022-10-17,Y,Y,N,2025-07-05,37.34880001,127.1186145,2010,15,0.7032517148572056,1,316.5,2
분당구,운중동,35539,주택단지,실외,산운마을1단지 휴먼시아연립 106동 뒤 놀이터,경기도 성남시 분당구 산운로 7,328.0,2010-12-03,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-11-14,Y,N,N,2025-07-05,37.39412536,127.0618236,2010,15,3.973648903158268,0,328.0,2
분당구,야탑3동,35900,주택단지,실외,매화마을 동신건영2차연립 놀이터,경기도 성남시 분당구 벌말로30번길 12,328.0,2010-11-22,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-10,Y,Y,N,2025-07-05,37.41014181,127.1388152,2010,15,1.4121460493369062,0,328.0,2
분당구,금곡동,36107,주택단지,실외,청솔6단지 609동 놀이터,경기도 성남시 분당구 미금로 246,328.0,2009-11-02,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,Y,N,2025-07-05,37.35462403,127.1099976,2009,16,1.5415904331216987,0,328.0,2
분당구,금곡동,36109,주택단지,실외,청솔6단지 유아놀이터,경기도 성남시 분당구 미금로 246,328.0,2009-11-02,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-05,Y,Y,N,2025-07-05,37.35462403,127.1099976,2009,16,1.5415904331216987,0,328.0,2
중원구,하대원동,36419,도시공원,실외,대원공원 놀이터(3),경기도 성남시 중원구 시민로 50,183.0,2009-08-31,공공,흔들놀이기구(1)+건너는기구(1)+기타(2)+충격흡수용표면재(기타바닥재)(1),2022-11-22,Y,Y,N,2025-07-05,37.43468127,127.1491869,2009,16,2.4336204925957743,1,183.0,2
