구,행정동,사업장명,인허가일자,소재지지번주소,소재지도로명주소
수정구,위례동,천사온누리약국,2017-06-20,경기도 성남시 수정구 창곡동 513번지 3호 ,"경기도 성남시 수정구 위례동로 141, 106호 (창곡동, 우성메디피아)"
수정구,위례동,위례수동물약국,2017-12-18,경기도 성남시 수정구 창곡동 559번지 4호 ,"경기도 성남시 수정구 위례서일로 18, 더존메디컬타워 1층 (창곡동)"
수정구,위례동,위례퍼스트약국,2018-09-05,경기도 성남시 수정구 창곡동 508번지 아이플렉스 118호 ,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 118호 (창곡동)"
수정구,위례동,위례광장약국,2018-09-14,경기도 성남시 수정구 창곡동 0번지 위례우남역 퍼스트푸르지오시티 112호 ,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 112호 (창곡동)"
수정구,위례동,위례조은약국,2019-07-18,경기도 성남시 수정구 창곡동 562번지 아이페리온 115호 ,"경기도 성남시 수정구 위례광장로 19, 아이페리온 115호 (창곡동)"
수정구,위례동,위례진약국,2019-10-23,경기도 성남시 수정구 창곡동 508번지 아이플렉스 119호 ,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 119호 (창곡동)"
수정구,위례동,위례미소약국,2020-09-04,경기도 성남시 수정구 창곡동 509번지 위례중앙역 중앙타워 ,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 B40호 (창곡동)"
수정구,위례동,서일약국,2021-02-04,경기도 성남시 수정구 창곡동 559번지 5호 이너매스우남 ,"경기도 성남시 수정구 위례서일로 22, 이너매스우남 1층 116호 (창곡동)"
수정구,위례동,위례중앙약국,2022-04-15,경기도 성남시 수정구 창곡동 509번지 1호 우성트램타워 A동 104호 ,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 104호 (창곡동)"
수정구,위례동,바른약국,2022-08-08,경기도 성남시 수정구 창곡동 509번지 창곡동 509번지 722호 ,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 722호 (창곡동)"
수정구,위례동,365열린큰약국,2022-08-25,"경기도 성남시 수정구 창곡동 505번지 위례 한화 오벨리스크 센트럴스퀘어 1049,1050,1051호 ","경기도 성남시 수정구 위례광장로 104, 위례 한화 오벨리스크 센트럴스퀘어 1049,1050,1051호 (창곡동)"
수정구,위례동,연세으뜸약국,2023-12-08,경기도 성남시 수정구 창곡동 547번지 2호 으뜸프라자 103호 ,"경기도 성남시 수정구 위례광장로 27, 으뜸프라자 103호 (창곡동)"
수정구,위례동,달달약국,2024-01-26,경기도 성남시 수정구 창곡동 513번지 1호 위례건아타워1층 110호 ,"경기도 성남시 수정구 위례동로 147, 위례건아타워 (창곡동)"
수정구,위례동,위례일번약국,2024-03-05,경기도 성남시 수정구 창곡동 559번지 10호 위례엘포트한라비발디 ,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 107,109호 (창곡동)"
수정구,위례동,위례진약국,2024-04-24,경기도 성남시 수정구 창곡동 508번지 아이플렉스 ,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 119호 (창곡동)"
수정구,위례동,봄봄약국,2025-02-20,경기도 성남시 수정구 창곡동 560번지 남위례역아이파크 ,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 111호 (창곡동)"
수정구,위례동,위례우리들약국,2025-04-09,경기도 성남시 수정구 창곡동 509번지 창곡동 509번지 ,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 808호 (창곡동)"
수정구,태평2동,비타약국,2004-03-26,경기도 성남시 수정구 태평동 2107번지 ,경기도 성남시 수정구 남문로 143 (태평동)
수정구,태평2동,우리약국,2004-06-21,경기도 성남시 수정구 태평동 3425번지 2호 ,경기도 성남시 수정구 수정로 161 (태평동)
수정구,태평2동,명성약국,2013-08-26,경기도 성남시 수정구 태평동 7338번지 선운빌딩1층 ,"경기도 성남시 수정구 수정로 205 (태평동, 선운빌딩1층)"
수정구,태평3동,태평로온누리약국,2013-08-29,경기도 성남시 수정구 태평동 6417번지 105호 ,"경기도 성남시 수정구 수정북로13번길 2, 105호 (태평동)"
수정구,태평1동,기쁨약국,2019-11-12,경기도 성남시 수정구 태평동 6511번지 대명빌딩 ,"경기도 성남시 수정구 수정로 69, 대명빌딩 1층 (태평동)"
수정구,태평3동,가고싶은 후문약국,2019-12-31,경기도 성남시 수정구 태평동 3307번지 152호 ,"경기도 성남시 수정구 시민로205번길 32, 1층 (태평동)"
수정구,태평3동,성남다사랑약국,2020-01-03,경기도 성남시 수정구 태평동 3406번지 우일프라자 ,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 1층 (태평동)"
수정구,태평1동,청년약국,2020-01-10,경기도 성남시 수정구 태평동 5113번지 7호 ,"경기도 성남시 수정구 성남대로 1330, 1층 4호 (태평동)"
수정구,태평3동,가까운 태평양약국,2020-01-15,경기도 성남시 수정구 태평동 7288번지 3호 ,경기도 성남시 수정구 수정로171번길 8 (태평동)
